DASYLab - V 9.00.02
Worksheet name: LeakageCurrentTesterV4DevSML40sAna200V
Recording Date     : 18-03-2014, 09:04:57
Block Length       : 1
Delta              : 0.2 sec.
Number of Channels : 1
Measurement time[s]	Write 0 [nA]	
41.8	19.600	
42.0	19.600	
42.2	19.100	
42.4	19.600	
42.6	19.100	
42.8	19.100	
43.0	19.100	
43.2	18.000	
43.4	18.600	
43.6	18.600	
43.8	18.000	
44.0	18.000	
44.2	18.000	
44.4	17.000	
44.6	17.000	
44.8	17.500	
45.0	17.000	
45.2	17.500	
45.4	17.000	
45.6	16.000	
45.8	14.900	
46.0	14.900	
46.2	14.900	
46.4	16.000	
46.6	15.500	
46.8	14.900	
47.0	14.400	
47.2	14.400	
47.4	14.900	
47.6	15.500	
47.8	16.000	
48.0	15.500	
48.2	16.000	
48.4	16.500	
48.6	16.500	
48.8	16.500	
49.0	15.500	
49.2	14.900	
49.4	14.900	
49.6	14.900	
49.8	14.400	
50.0	14.400	
50.2	13.900	
50.4	12.900	
50.6	12.900	
50.8	13.400	
51.0	13.900	
51.2	14.400	
51.4	14.900	
51.6	15.500	
51.8	14.900	
52.0	14.400	
52.2	15.500	
52.4	15.500	
52.6	16.000	
52.8	16.000	
53.0	13.900	
53.2	13.900	
53.4	13.400	
53.6	13.400	
53.8	12.900	
54.0	12.900	
54.2	12.900	
54.4	13.900	
54.6	14.900	
54.8	14.900	
55.0	14.900	
55.2	14.900	
55.4	13.400	
55.6	13.400	
55.8	12.900	
56.0	12.900	
56.2	13.400	
56.4	13.900	
56.6	14.400	
56.8	14.400	
57.0	14.400	
57.2	13.900	
57.4	12.900	
57.6	11.900	
57.8	10.800	
58.0	10.800	
58.2	10.800	
58.4	10.800	
58.6	10.800	
58.8	9.800	
59.0	9.300	
59.2	8.200	
59.4	8.200	
59.6	8.200	
59.8	8.200	
60.0	8.800	
60.2	8.200	
60.4	7.700	
60.6	7.700	
60.8	7.700	
61.0	8.200	
61.2	7.700	
61.4	7.700	
61.6	7.700	
61.8	7.700	
62.0	8.200	
62.2	8.200	
62.4	7.200	
62.6	7.200	
62.8	6.700	
63.0	6.700	
63.2	6.700	
63.4	6.700	
63.6	6.700	
63.8	6.700	
64.0	6.700	
64.2	6.700	
64.4	7.200	
64.6	6.700	
64.8	6.200	
65.0	6.200	
65.2	6.200	
65.4	6.700	
65.6	7.200	
65.8	6.700	
66.0	6.700	
66.2	6.700	
66.4	6.700	
66.6	-20695.699	
66.8	-25617.000	
67.0	-30418.699	
67.2	-32639.100	
67.4	-26951.400	
67.6	-19437.600	
67.8	-17768.199	
68.0	-10771.800	
68.2	-6354.100	
